Sheet Name,Variable Name,Data Type
Family History,Subject,int64
Family History,Submitted,object
Family History,Relation,object
Family History,Is this person still living?,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Allergies,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - ALS or other neuromuscular disease,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Alzheimer's disease or other dementia,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Asthma,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Behcet's disease,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Blood cancer,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Chronic fatigue syndrome,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Crohn's disease,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Cushing's disease,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Fibromyalgia,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Guillain Barre syndrome,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Idiopathic thrombocytopenic purpura,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Multiple sclerosis,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Muscle dystrophy,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Neuromyelitis optica,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Peripheral neuropathy,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Psoriasis,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Rheumatoid arthritis,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Systemic lupus erythematosus,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Thyroid disease,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Transient ischemic attack,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Ulcerative colitis,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Other - Write In,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - None of these,object
Family History,Has this person ever been diagnosed by a physician with any of the following medical conditions? - Don't know,object
General Information 1,Subject,int64
General Information 1,Submitted,object
General Information 1,Current Marital Status,object
General Information 1,Highest Level of Education,object
General Information 1,Current Height (Feet),int64
General Information 1,Current Height (Inches),int64
General Information 1,Current Weight,int64
General Information 1,Height @ 40 (Feet),float64
General Information 1,Height @ 40 (Inches),float64
General Information 1,Weight @ 40,float64
General Information 1,"What do you consider your race or ethnic group? If you belong to more than one of these groups, please indicate all groups that apply to you? - Asian",object
General Information 1,"What do you consider your race or ethnic group? If you belong to more than one of these groups, please indicate all groups that apply to you? - Native Hawaiian or Other Pacific Islander",object
General Information 1,"What do you consider your race or ethnic group? If you belong to more than one of these groups, please indicate all groups that apply to you? - Black/African-American",object
General Information 1,"What do you consider your race or ethnic group? If you belong to more than one of these groups, please indicate all groups that apply to you? - White",object
General Information 1,"What do you consider your race or ethnic group? If you belong to more than one of these groups, please indicate all groups that apply to you? - Hispanic/Latino",object
General Information 1,"What do you consider your race or ethnic group? If you belong to more than one of these groups, please indicate all groups that apply to you? - American Indian/Alaska Native",object
